Angles,Carriage,SID,FX,FY,FZ,DetX,DetY,FXCorr,FYCorr,FZCorr,DetXCorr,DetYCorr
-19.1,59.80000000000018,1104.0,-301.4485604729305,0.0,1043.223599021914,-153.1720027446745,-212.97200274467468,-303.87686650010613,1.6038660189519758,1051.0524646876056,-153.99436630437359,-213.32293404251843
-18.4,57.600000000000136,1104.0,-290.8765367896009,0.0,1047.5591168555243,-155.37200274467455,-212.97200274467468,-293.31728333710305,1.3809506966760419,1055.2589987442625,-156.31072263419424,-213.31386365861917
-17.8,55.40000000000009,1104.0,-282.08761667926854,0.0,1051.150849587321,-157.5720027446746,-212.97200274467468,-284.34922076038515,2.127837356806235,1059.7801593974878,-158.29539441683806,-213.35864245619933
-17.1,53.200000000000045,1104.0,-271.42051905646355,0.0,1055.1954883373564,-159.77200274467464,-212.97200274467468,-273.1075309888739,1.313789629628201,1061.097842043131,-160.35683194880448,-213.25231591421328
-16.4,51.0,1104.0,-260.7049683545356,0.0,1059.0826278922234,-161.97200274467468,-212.97200274467468,-263.30100551943764,1.1261637942428997,1065.577197324453,-162.62519936417664,-213.19548722883184
-15.8,49.0,1104.0,-251.5973927327941,0.0,1062.288664856331,-163.97200274467468,-212.97200274467468,-252.26923921019971,0.8690297526403448,1065.7072591174385,-164.40063640473954,-213.18953219811334
-15.1,46.80000000000018,1104.0,-240.7969775414836,0.0,1065.8817844906646,-166.1720027446745,-212.97200274467468,-241.20196131958932,1.2488334545218227,1069.2172543325482,-166.58553437939472,-213.232881575759
-14.5,44.700000000000045,1104.0,-231.7195244761033,0.0,1068.834994977431,-168.27200274467464,-212.97200274467468,-230.87799091318644,1.2262268550841076,1072.532249747931,-168.67209634321446,-213.23314745924748
-13.8,42.5,1104.0,-220.8409371667533,0.0,1072.1322450202383,-170.47200274467468,-212.97200274467468,-221.49379504626324,1.41408554505447,1075.3095704273694,-170.72469461622984,-213.19059559598233
-13.1,40.30000000000018,1104.0,-209.92304341028776,0.0,1075.2694678760731,-172.6720027446745,-212.97200274467468,-209.62294784534163,1.1199457360658762,1076.8782959752255,-173.03302576330825,-213.13687802605023
-12.5,38.100000000000136,1104.0,-200.84933378766544,0.0,1077.8307918604064,-174.87200274467455,-212.97200274467468,-199.80326716450915,0.4860101817672058,1079.9024576379525,-175.01835051054277,-213.0593585446726
-11.8,36.100000000000136,1104.0,-189.6636412333364,0.0,1080.6695971929003,-176.87200274467455,-212.97200274467468,-189.24403230719227,1.0613128366325189,1082.0203779975084,-176.97461402495523,-213.1395226383871
-11.1,34.0,1104.0,-178.5442510446018,0.0,1083.3471010474386,-178.97200274467468,-212.97200274467468,-178.90737447062855,1.0983741874474688,1082.890329572719,-178.96393645154504,-213.13834067059437
-10.5,32.0,1104.0,-169.18802014333082,0.0,1085.5134179506058,-180.97200274467468,-212.97200274467468,-167.8749876553105,1.6521946224970692,1084.3958190578285,-181.12204002244877,-213.20755450510256
-9.8,29.90000000000009,1104.0,-158.01128707929985,0.0,1087.8903199257732,-183.0720027446746,-212.97200274467468,-157.43183927354505,1.4510147773412525,1086.934715731628,-183.1368670167399,-213.21278402564138
-9.1,27.800000000000182,1104.0,-146.80650624894963,0.0,1090.1048426530062,-185.1720027446745,-212.97200274467468,-148.25651221406576,0.833461124967807,1091.0399039451252,-185.08617298061324,-213.18028078127605
-8.5,25.700000000000045,1104.0,-137.48158988709008,0.0,1091.8735131515562,-187.27200274467464,-212.97200274467468,-137.82020541742236,0.8088467559401974,1093.3277430690982,-187.09452528006267,-213.13953328649546
-7.8,23.700000000000045,1104.0,-126.129991967472,0.0,1093.7856158804736,-189.27200274467464,-212.97200274467468,-126.9719983626596,0.41702865993645843,1095.2350117655026,-189.17280263634433,-213.03703976223014
