Angles,Carriage,SID,FX,FY,FZ,DetX,DetY,FXCorr,FYCorr,FZCorr,DetXCorr,DetYCorr
-18.8,67.48571428571427,1103.0,-287.97334755353944,0.0,1044.1541339076132,-145.48628845896042,-212.97200274467468,-296.75059683378475,2.9660409004081507,1055.9902065755211,-145.64228580196007,-213.47033864059404
-18.1,64.98571428571427,1103.0,-277.6903875969829,0.0,1048.4188519854454,-147.98628845896042,-212.97200274467468,-286.0348384764139,3.152235356551596,1058.5462990962747,-148.145073587179,-213.49986557147523
-17.5,62.485714285714266,1103.0,-269.19278256749897,0.0,1051.9497966752942,-150.48628845896042,-212.97200274467468,-275.3941002117463,2.523850658983437,1061.950183421565,-150.64665012627077,-213.38169310050347
-16.8,59.985714285714266,1103.0,-258.81635774403793,0.0,1055.9234057778701,-152.98628845896042,-212.97200274467468,-265.0190351216792,3.2985820552672207,1065.8049236692548,-153.12680803749555,-213.52851540261236
-16.1,57.38571428571436,1103.0,-248.49234830680837,0.0,1059.7394070358262,-155.58628845896033,-212.97200274467468,-254.0845010029162,2.2591667098380133,1068.13337346694,-155.8439293736768,-213.31848910705094
-15.5,54.985714285714266,1103.0,-239.77821452860303,0.0,1062.8843898891112,-157.98628845896042,-212.97200274467468,-243.32936496111745,2.4061136706228448,1071.7130187708542,-158.2871471179537,-213.3336921339114
-14.8,52.5857142857144,1103.0,-229.1709567174625,0.0,1066.4061976307187,-160.38628845896028,-212.97200274467468,-233.62340686345703,2.9038999472648745,1073.9356092015216,-160.50213095778463,-213.46089791168706
-14.2,50.0857142857144,1103.0,-220.48833233860483,0.0,1069.2982209343381,-162.88628845896028,-212.97200274467468,-220.61782300246102,2.0054706842886296,1071.6594902418083,-163.20034614062052,-213.3596515674508
-13.5,47.68571428571431,1103.0,-209.80452204734934,0.0,1072.5240221986373,-165.28628845896037,-212.97200274467468,-212.1940591050995,1.88207060708991,1075.764006886552,-165.4397343758169,-213.30960814642057
-12.9,45.18571428571431,1103.0,-201.05916367436507,0.0,1075.1615971929175,-167.78628845896037,-212.97200274467468,-201.0511824863715,1.5524591089673907,1077.4432028919598,-168.06513361191276,-213.28167416008748
-12.2,42.88571428571436,1103.0,-190.2055362045793,0.0,1078.0897313975638,-170.08628845896033,-212.97200274467468,-190.78263475674785,1.6536612497252612,1079.2081769575832,-170.24740320652907,-213.34650864859702
-11.5,40.38571428571436,1103.0,-179.5171173764541,0.0,1080.856949196775,-172.58628845896033,-212.97200274467468,-180.65519208021738,1.3346439145229443,1081.1554981060524,-172.46011436356895,-213.21882240750793
-10.9,37.985714285714266,1103.0,-170.58655933213586,0.0,1083.1004601041773,-174.98628845896042,-212.97200274467468,-170.0897078172143,1.2074688772788102,1082.9225730546918,-175.03673760843574,-213.1936427492989
-10.2,35.5857142857144,1103.0,-159.73875428678593,0.0,1085.5677555900738,-177.38628845896028,-212.97200274467468,-161.7708670178223,1.0416376382335693,1088.4665345989667,-177.06301323548993,-213.20124996354028
-9.5,33.18571428571431,1103.0,-148.86179497861312,0.0,1087.8730184955664,-179.78628845896037,-212.97200274467468,-150.80269619098982,0.9457776367295353,1092.2101852448993,-179.66168854537423,-213.03181135013887
-8.9,30.785714285714448,1103.0,-139.85984180259885,0.0,1089.7197319436361,-182.18628845896023,-212.97200274467468,-140.72599154830735,1.44602721116387,1092.914468262699,-182.00994080636593,-213.23149173668045
-8.2,28.585714285714403,1103.0,-128.73399959146494,0.0,1091.7231826912912,-184.38628845896028,-212.97200274467468,-130.5554093315587,1.0309400339574715,1096.3632869482778,-184.39295640760042,-213.1178501888943
-7.5,26.18571428571431,1103.0,-117.78467573300259,0.0,1093.5636820953127,-186.78628845896037,-212.97200274467468,-119.59208909613973,1.075508061412501,1097.3024061596614,-186.75594870287853,-213.11611170508448
-6.9,23.885714285714357,1103.0,-108.62521894890139,0.0,1095.0113481481785,-189.08628845896033,-212.97200274467468,-109.25282192140725,1.3390955012142554,1099.2335493776377,-189.230959123288,-213.16596802144684
-6.2,21.585714285714403,1103.0,-97.53757505802879,0.0,1096.5485132614638,-191.38628845896028,-212.97200274467468,-98.94043956488738,1.206303747954265,1099.5560806613234,-191.46021543902006,-213.1543211009187
-5.5,19.285714285714448,1103.0,-86.43215074409261,0.0,1097.9220067989984,-193.68628845896023,-212.97200274467468,-88.07423460280982,0.8815563600272099,1101.7358625690226,-193.78024130172537,-213.13863702778104
-4.9,17.085714285714403,1103.0,-77.12915193480191,0.0,1098.9688616985698,-195.88628845896028,-212.97200274467468,-77.72662962601149,0.8890528889687309,1101.966591454785,-196.0276363937481,-213.11934858472256
-4.2,14.685714285714312,1103.0,-66.09601714606345,0.0,1100.0378683785773,-198.28628845896037,-212.97200274467468,-67.2955487263581,0.787742734797121,1101.8200223189929,-198.2862689383983,-213.10321210580616
-3.6,12.385714285714357,1103.0,-56.8722287551183,0.0,1100.8234814563834,-200.58628845896033,-212.97200274467468,-56.23392464122441,0.788067107915856,1102.3542695011208,-200.57833823980783,-213.11643267252126
-2.9,10.085714285714403,1103.0,-45.718298618900384,0.0,1101.5874509741575,-202.88628845896028,-212.97200274467468,-44.92563187151256,0.6834699233824727,1102.6765306067703,-202.82153775555116,-213.11629101614628
-2.2,7.785714285714448,1103.0,-34.55603913782005,0.0,1102.186996800915,-205.18628845896023,-212.97200274467468,-34.874745362769325,0.836407143933118,1103.9674423891681,-205.16106954732527,-213.13135802021537
-1.6,5.485714285714266,1103.0,-25.31185322638221,0.0,1102.5699568895109,-207.48628845896042,-212.97200274467468,-24.630835918168817,0.3381684481907424,1103.9369444582203,-207.50709999770376,-213.08272200787798
-0.9,3.285714285714448,1103.0,-14.039456709223757,0.0,1102.8639256272716,-209.68628845896023,-212.97200274467468,-13.437494969754553,0.5708554581008463,1103.6540855090575,-209.82944043394428,-213.09985566599812
-0.3,0.9857142857142662,1103.0,-4.78955382034153,0.0,1102.9848803489117,-211.98628845896042,-212.97200274467468,-2.3080606445223117,0.48324218143298914,1104.1906889487598,-212.1097559377252,-213.08898110410817
0.4,-1.3142857142856883,1103.0,6.386044394365904,0.0,1102.9731206680503,-214.28628845896037,-212.97200274467468,8.054415950075901,0.3770250708002537,1103.5701985030198,-214.31955043251392,-213.06397700453294
1.1,-3.5142857142857338,1103.0,17.66049325257197,0.0,1102.7967304701735,-216.48628845896042,-212.97200274467468,17.66049325257197,0.0,1102.7967304701735,-216.48628845896042,-212.97200274467468
1.8,-5.714285714285552,1103.0,28.93178154888995,0.0,1102.455736083402,-218.68628845896023,-212.97200274467468,29.009392684925714,0.3757427805768782,1102.296970038184,-218.76581695108194,-213.06842056413916
2.4,-8.114285714285643,1103.0,38.07456034902154,0.0,1102.0324815990407,-221.08628845896033,-212.97200274467468,40.084492613132504,0.4156983914894568,1101.3143094245656,-221.2802670527515,-213.05947532681927
3.1,-10.414285714285597,1103.0,49.23464500792155,0.0,1101.3859473698114,-223.38628845896028,-212.97200274467468,49.2469117931218,0.2785391287011788,1100.7362234305833,-223.45728004358367,-213.04178796085387
3.8,-12.814285714285688,1103.0,60.28582642691447,0.0,1100.5750195261312,-225.78628845896037,-212.97200274467468,59.24984742129845,0.2343466292565597,1099.8797069477712,-225.8188022653622,-213.051012719821
4.4,-15.114285714285643,1103.0,69.50680230959533,0.0,1099.749185706293,-228.08628845896033,-212.97200274467468,70.8439108030387,-0.2206173432301057,1098.6708135979297,-228.16570668240269,-212.96006662441715
5.1,-17.31428571428569,1103.0,80.73612372939928,0.0,1098.6332951480788,-230.28628845896037,-212.97200274467468,81.18933595948351,-0.7019028827865251,1096.1232242535825,-230.26046411439262,-212.84454954580417
5.8,-19.614285714285643,1103.0,91.85081007850417,0.0,1097.3534218381533,-232.58628845896033,-212.97200274467468,91.23895822540129,-0.5171103350703165,1094.792848523116,-232.55313046768083,-212.83391582247114
6.4,-22.014285714285734,1103.0,100.93594650929127,0.0,1096.1260148341378,-234.98628845896042,-212.97200274467468,101.05418823455193,-0.5552237465613985,1093.85312737598,-234.98532255366385,-212.7807797951301
7.1,-24.31428571428569,1103.0,112.01814313047777,0.0,1094.542127487694,-237.28628845896037,-212.97200274467468,110.91733263798031,-0.643818006216677,1090.9385024500828,-237.2822590263617,-212.7963205253492
7.8,-26.614285714285643,1103.0,123.07999068075208,0.0,1092.7948680400023,-239.58628845896033,-212.97200274467468,121.73393705554837,-0.7430095437246604,1089.2524654560525,-239.31552670734519,-212.76302339078393
8.4,-28.914285714285597,1103.0,132.21529479005443,0.0,1091.1673832581762,-241.88628845896028,-212.97200274467468,130.94954171891442,-0.7507785544481919,1088.459462312103,-241.40335758439866,-212.7661843221578
9.1,-31.214285714285552,1103.0,143.23406246740979,0.0,1089.1174288462553,-244.18628845896023,-212.97200274467468,140.7193737580657,-0.43705989329297484,1085.4238716701345,-244.11836118605294,-212.88673489004452
9.8,-33.514285714285734,1103.0,154.22679186584818,0.0,1086.9049120272896,-246.48628845896042,-212.97200274467468,150.14898867275784,-0.7896250371648359,1082.6717833305186,-246.33218839304922,-212.85870387195584
10.4,-35.81428571428569,1103.0,163.29833149708196,0.0,1084.8793323071648,-248.78628845896037,-212.97200274467468,160.74802649927707,-0.5445099081205966,1079.5063552833483,-248.51985741948553,-212.86711024756153
11.1,-38.31428571428569,1103.0,174.0374433637902,0.0,1082.3658083834464,-251.28628845896037,-212.97200274467468,170.76555624698295,-0.1936425968618909,1078.007318307639,-251.18554867317408,-212.95556418726682
11.7,-40.514285714285734,1103.0,183.1601010639475,0.0,1080.0827601158076,-253.48628845896042,-212.97200274467468,181.04569258138113,-0.8247399957223219,1076.1724622889483,-253.50061774701564,-212.89642384301575
12.4,-42.9142857142856,1103.0,193.9387801509851,0.0,1077.2695230025872,-255.88628845896028,-212.97200274467468,190.15255359632215,-1.0098687830284867,1069.7103295231059,-255.97025972763177,-212.76291913539745
13.0,-45.21428571428555,1103.0,202.90672722699756,0.0,1074.7301814581144,-258.18628845896023,-212.97200274467468,200.315687016834,-0.8147424969259229,1067.1247440445463,-258.2634843646394,-212.7789978777886
13.7,-47.514285714285734,1103.0,213.71818939609165,0.0,1071.6186793574036,-260.4862884589604,-212.97200274467468,209.85771116802385,-0.8513229624356606,1063.1533800112134,-260.54704174368413,-212.71718215795644
14.4,-50.014285714285734,1103.0,224.2906598285491,0.0,1068.34722672488,-262.9862884589604,-212.97200274467468,219.04812471295702,-1.1739348200959827,1061.256375387107,-263.0608159343565,-212.72518244480975
15.0,-52.4142857142856,1103.0,233.0631210337948,0.0,1065.4161863968422,-265.3862884589603,-212.97200274467468,228.2588426935351,-1.2462730192743405,1056.693450274572,-265.56133057143467,-212.76143049748947
15.7,-54.81428571428569,1103.0,243.65800619709182,0.0,1061.8489963084062,-267.78628845896037,-212.97200274467468,237.74189477295837,-1.2665172506228548,1052.6152563666153,-267.6355790822496,-212.7126093949763
16.4,-57.21428571428555,1103.0,254.20834118340713,0.0,1058.1233139176834,-270.18628845896023,-212.97200274467468,246.75861946568995,-0.40188824894956177,1047.7767526124912,-269.96480904711507,-212.74667752231878
17.0,-59.514285714285734,1103.0,262.9717045948929,0.0,1054.804145827228,-272.4862884589604,-212.97200274467468,256.85987765284335,-1.5823675089490719,1045.0505102538768,-272.6293359254978,-212.5620175889267
17.7,-62.11428571428564,1103.0,273.23418048653014,0.0,1050.7856138227057,-275.0862884589603,-212.97200274467468,265.6800705253673,-1.438494328196802,1042.7825409748789,-275.1008010390063,-212.5527575461916
18.4,-64.51428571428573,1103.0,283.6466020383682,0.0,1046.6102408438796,-277.4862884589604,-212.97200274467468,275.23384124454776,-1.5898141078673793,1036.8494969966002,-277.55317198465764,-212.63603346292538
19.0,-67.01428571428573,1103.0,292.08738865195807,0.0,1042.9069888860465,-279.9862884589604,-212.97200274467468,285.3156781205155,-1.4552215534934223,1033.4117401317355,-280.02082647749273,-212.58397465471774
19.7,-69.61428571428564,1103.0,302.2017843263739,0.0,1038.4420109276778,-282.5862884589603,-212.97200274467468,293.1291989902662,-1.6167574685452675,1028.3488547670129,-282.5966692866687,-212.51217641736855
