Angles,Carriage,SID,FX,FY,FZ,DetX,DetY,FXCorr,FYCorr,FZCorr,DetXCorr,DetYCorr
-19.3,60.485714285714266,1104.0,-304.402175269684,0.0,1041.9562505478852,-152.48628845896042,-212.97200274467468,-306.32287658438764,1.8695225907537054,1048.74881645531,-153.31367064629586,-213.25881433205947
-18.6,58.18571428571431,1104.0,-293.94536317935496,0.0,1046.3363246505826,-154.78628845896037,-212.97200274467468,-294.6134526136879,1.6110924960610595,1052.156532775128,-155.7765019842267,-213.36411707393316
-18.0,55.985714285714266,1104.0,-285.16904750422765,0.0,1049.9663939898494,-156.98628845896042,-212.97200274467468,-284.8125994980526,1.4314928807748049,1054.392354646097,-157.75050169764242,-213.13982613624643
-17.3,53.78571428571422,1104.0,-274.51614669616146,0.0,1054.0559226510884,-159.18628845896046,-212.97200274467468,-275.332153474232,1.6762548052225665,1059.386972701907,-159.90495539582082,-213.19876434263745
-16.7,51.585714285714175,1104.0,-265.6602996283678,0.0,1057.4360343092276,-161.3862884589605,-212.97200274467468,-265.87425500138215,1.720489941276316,1060.784790780111,-161.79683679523515,-213.22302653920482
-16.0,49.485714285714266,1104.0,-254.8179265362528,0.0,1061.232912315904,-163.48628845896042,-212.97200274467468,-254.21739559293715,1.5736076933363612,1064.0930532638013,-164.1542466846976,-213.18077688430768
-15.3,47.38571428571413,1104.0,-243.93013287605748,0.0,1064.871389977409,-165.58628845896055,-212.97200274467468,-242.6474774869064,1.728808945530957,1064.952217883264,-166.24898263490715,-213.23388787531243
-14.6,45.18571428571431,1104.0,-233.0988572146831,0.0,1068.3509242120963,-167.78628845896037,-212.97200274467468,-232.54038451025403,1.8877431346502567,1070.6192841165998,-168.56731678795302,-213.2939660859585
-14.0,42.985714285714266,1104.0,-224.09605845631893,0.0,1071.2064818087001,-169.98628845896042,-212.97200274467468,-222.39709055509053,1.5418244653763453,1072.3850605755388,-170.7112351752764,-213.2136213939882
-13.3,40.78571428571422,1104.0,-213.18919556995306,0.0,1074.3894755459055,-172.18628845896046,-212.97200274467468,-212.67260791945986,1.3800906678119422,1075.0553166496168,-172.681249299038,-213.19084126655446
-12.7,38.68571428571431,1104.0,-204.0244953198183,0.0,1076.9901365162257,-174.28628845896037,-212.97200274467468,-201.2449958356981,0.9935858441150996,1076.0303882420717,-174.67646396408065,-213.08681176096596
-12.0,36.585714285714175,1104.0,-192.9487923770921,0.0,1079.8749512101215,-176.3862884589605,-212.97200274467468,-190.5780832965614,1.2863763772708219,1078.85941391545,-176.7596957451917,-213.1192120952228
-11.3,34.585714285714175,1104.0,-181.73882895802535,0.0,1082.5985830354607,-178.3862884589605,-212.97200274467468,-180.8120437437095,1.6764561560241737,1081.8103431453785,-178.68581020834463,-213.16038833535205
-10.7,32.485714285714266,1104.0,-172.49022909996296,0.0,1084.8045273841512,-180.48628845896042,-212.97200274467468,-171.97355575020043,1.063068605087651,1083.6105572095828,-180.59743920383363,-213.13141790865666
-10.0,30.485714285714266,1104.0,-161.22187385857683,0.0,1087.2277593254776,-182.48628845896042,-212.97200274467468,-161.21806044772575,1.13194761844099,1086.5610281159331,-182.61745043784023,-213.16065918646333
-9.3,28.38571428571413,1104.0,-150.02490421239656,0.0,1089.4887109131153,-184.58628845896055,-212.97200274467468,-151.3543197625105,1.3878819877631094,1090.1527917857866,-184.59339529451435,-213.18903084629363
-8.7,26.18571428571431,1104.0,-140.8062312672157,0.0,1091.2972510367867,-186.78628845896037,-212.97200274467468,-140.47114631878378,1.1913244957071567,1090.6407746814798,-186.74962576220165,-213.1275944084184
-8.0,24.28571428571422,1104.0,-129.36138917419802,0.0,1093.2559478906937,-188.68628845896046,-212.97200274467468,-129.81541223726518,0.9436283614329608,1094.250773923907,-188.9260212415029,-213.1236352772122
-7.4,22.28571428571422,1104.0,-119.90462433591506,0.0,1094.8049632709317,-190.68628845896046,-212.97200274467468,-118.67017015856376,0.8949149839632212,1094.901330757962,-190.99492273553463,-213.10580890662678
-6.7,20.28571428571422,1104.0,-108.51877947194961,0.0,1096.4603970904886,-192.68628845896046,-212.97200274467468,-108.94534689141113,1.2796815178577505,1097.613290477161,-192.951537563385,-213.19050857064798
-6.0,18.18571428571431,1104.0,-97.2137091617751,0.0,1097.9521724865738,-194.78628845896037,-212.97200274467468,-97.53568722758168,1.1325280162292959,1098.2076589319001,-195.0498810526915,-213.12990651239704
-5.4,16.28571428571422,1104.0,-87.60986361792558,0.0,1099.1004089218004,-196.68628845896046,-212.97200274467468,-86.44126518968373,0.9861523733214906,1098.9951051950318,-196.93137088393433,-213.14287893806727
-4.7,14.185714285714312,1104.0,-76.27439924185087,0.0,1100.2876750471123,-198.78628845896037,-212.97200274467468,-75.74012417857742,0.37759850533554756,1100.010535718957,-199.00052270871853,-212.9561677445918
-4.1,12.085714285714175,1104.0,-66.84746425757108,0.0,1101.174624355762,-200.8862884589605,-212.97200274467468,-66.2121919488959,0.28829362162202404,1102.5198506024344,-201.0071054526447,-212.87060086217343
-3.4,10.085714285714175,1104.0,-55.38852214214745,0.0,1102.0567700278368,-202.8862884589605,-212.97200274467468,-55.218536461628396,-0.07610011375574004,1102.8522661182635,-202.90292829443632,-212.88290271292954
-2.8,8.085714285714175,1104.0,-45.84443156864286,0.0,1102.6819756249433,-204.8862884589605,-212.97200274467468,-43.742388991153156,-0.005828053277588126,1103.5074620129424,-204.97506413015995,-212.92302675424344
-2.1,6.185714285714312,1104.0,-34.26894012632382,0.0,1103.2585467316364,-206.78628845896037,-212.97200274467468,-33.363114362393176,0.26781246632825884,1104.5245647179577,-206.8897603123785,-212.9292970913823
-1.4,4.185714285714312,1104.0,-22.78741039481477,0.0,1103.670444718426,-208.78628845896037,-212.97200274467468,-22.84725016185702,0.29608872912573514,1104.225121220894,-208.86105183951844,-212.95018180005326
-0.8,2.1857142857143117,1104.0,-13.228532808702068,0.0,1103.8923865062718,-210.78628845896037,-212.97200274467468,-11.562160821940594,-0.1684446035517691,1104.523219034766,-210.86593550820976,-212.88862698593275
-0.1,0.28571428571422075,1104.0,-1.641128230237512,0.0,1103.9983185122696,-212.68628845896046,-212.97200274467468,0.17696608767254704,-0.042913910882946854,1104.4020744608315,-212.83201723304003,-212.90950870341783
0.6,-1.7142857142857792,1104.0,9.846563950049575,0.0,1103.9394669795254,-214.68628845896046,-212.97200274467468,9.846563950049575,0.0,1103.9394669795254,-214.68628845896046,-212.97200274467468
1.2,-3.7142857142857792,1104.0,19.4061458369403,0.0,1103.7578745562294,-216.68628845896046,-212.97200274467468,20.632734883590967,-0.14965166687091414,1103.7027675755246,-216.89832789174682,-212.9090154941586
1.9,-5.814285714285688,1104.0,30.789031226647317,0.0,1103.3930383997,-218.78628845896037,-212.97200274467468,32.071515804932496,-0.5467115302333839,1102.7118680523347,-218.952247311377,-212.86274706110734
2.6,-7.814285714285688,1104.0,42.26645318041049,0.0,1102.863509048949,-220.78628845896037,-212.97200274467468,42.73205000432499,-0.5437252472625627,1101.6913458659035,-220.8280524610596,-212.84150055254722
3.2,-9.814285714285688,1104.0,51.81265579816715,0.0,1102.278603656907,-222.78628845896037,-212.97200274467468,52.59875253266774,-0.2512783712332796,1100.983905306145,-222.8573861294233,-212.9103350941422
3.9,-11.71428571428578,1104.0,63.374595180148205,0.0,1101.4434438345083,-224.68628845896046,-212.97200274467468,62.49979058148292,-0.1485442229354759,1101.067173526763,-224.7939295089731,-212.89353704987735
4.6,-13.71428571428578,1104.0,74.82532674477444,0.0,1100.4438818156968,-226.68628845896046,-212.97200274467468,73.845331779602,-0.6614088824971595,1097.4610915462872,-226.75728767550154,-212.87659308664948
5.2,-15.61428571428587,1104.0,84.44408282406343,0.0,1099.4563760720312,-228.58628845896055,-212.97200274467468,84.79073429154298,-0.46369504460278127,1097.7489617842837,-228.63749172574848,-212.8750805094558
5.9,-17.71428571428578,1104.0,95.7686748988347,0.0,1098.1519100973603,-230.68628845896046,-212.97200274467468,94.77534012964371,-0.31703275224730637,1096.9211294507154,-230.73408301485625,-212.90662821150045
6.5,-19.81428571428569,1104.0,105.16206228548333,0.0,1096.9033286669526,-232.78628845896037,-212.97200274467468,104.2612806490857,-0.48452554763849376,1095.1689527450346,-232.74963907089642,-212.84494402577195
7.2,-21.71428571428578,1104.0,116.65360414070614,0.0,1095.2946302511837,-234.68628845896046,-212.97200274467468,115.49175339611243,-0.5340846632499423,1093.0782053964708,-234.88344572769367,-212.85600346115106
7.9,-23.81428571428569,1104.0,127.9244931107242,0.0,1093.522447415093,-236.78628845896037,-212.97200274467468,127.01346875562662,-0.4198847650208652,1091.6189735528806,-236.66209328184567,-212.88091984916218
8.6,-25.914285714285825,1104.0,139.1727334475695,0.0,1091.5870446758945,-238.8862884589605,-212.97200274467468,136.65577737345205,-1.2629180106634939,1089.4367305631063,-238.69644037982036,-212.66452628439043
9.3,-28.014285714285734,1104.0,150.39633278382496,0.0,1089.4887109131153,-240.98628845896042,-212.97200274467468,145.6470193401836,-0.5647219336499302,1087.8366437705142,-240.53610638115904,-212.79859042616917
9.9,-30.014285714285734,1104.0,159.7954409941824,0.0,1087.5606960748703,-242.98628845896042,-212.97200274467468,154.73692609790683,-1.10437077376231,1084.9796733258297,-242.44742168158837,-212.72172970189447
10.6,-32.014285714285734,1104.0,171.0680053621573,0.0,1085.1606254611079,-244.98628845896042,-212.97200274467468,165.50859449144681,-0.3803971184435143,1083.2583052483335,-244.3068527665808,-212.92919560122547
11.2,-34.014285714285734,1104.0,180.4204380325633,0.0,1082.9744915055076,-246.98628845896042,-212.97200274467468,177.33852941455277,-0.5248809163228575,1084.1048828216783,-246.71041662180068,-212.79398965970609
11.9,-36.014285714285734,1104.0,191.63513496359337,0.0,1080.2739195523634,-248.98628845896042,-212.97200274467468,186.29774639451725,-1.3134642585139904,1077.6774005536884,-248.8597889002202,-212.64726603196598
12.5,-38.014285714285734,1104.0,200.93504807337985,0.0,1077.8307918604064,-250.98628845896042,-212.97200274467468,196.381573362121,-1.014785320428071,1072.109119662384,-250.90341406491834,-212.7444710911137
13.2,-40.11428571428587,1104.0,211.98507488787806,0.0,1074.831108771969,-253.08628845896055,-212.97200274467468,207.90184728414275,-1.2210523788251542,1067.313119975021,-252.9972901881452,-212.73175446908309
13.9,-42.21428571428578,1104.0,222.99747318061333,0.0,1071.6709956623226,-255.18628845896046,-212.97200274467468,217.76948149756302,-1.3867275657477327,1064.415415420663,-255.22232825024437,-212.752296003251
14.5,-44.414285714285825,1104.0,232.0052387618175,0.0,1068.834994977431,-257.3862884589605,-212.97200274467468,226.082001219184,-0.5114757200433968,1061.4643990543616,-257.36817985974,-212.84682897281652
15.2,-46.414285714285825,1104.0,243.04256750522882,0.0,1065.3782098974318,-259.3862884589605,-212.97200274467468,234.97799749709415,-1.2206817205895097,1057.646530779275,-259.3938534635274,-212.68915476656346
15.8,-48.61428571428587,1104.0,251.98310701850824,0.0,1062.288664856331,-261.58628845896055,-212.97200274467468,246.05461201539717,-1.6827027587223764,1054.4564174995642,-261.49377908510615,-212.61086164857778
16.5,-50.61428571428587,1104.0,262.93865483884474,0.0,1058.5369872944852,-263.58628845896055,-212.97200274467468,255.08370595603932,-1.9616626789461926,1049.1622414625976,-263.5136479549467,-212.54616681187204
17.2,-52.81428571428569,1104.0,273.64740153434184,0.0,1054.6273117830674,-265.78628845896037,-212.97200274467468,265.48324232724724,-1.7533900980532022,1047.772100158962,-265.8188127855584,-212.57479825382174
17.8,-54.914285714285825,1104.0,282.5733309649828,0.0,1051.150849587321,-267.8862884589605,-212.97200274467468,274.0580196365106,-1.8114373267725299,1043.0472122448245,-267.7943580382063,-212.5682080882571
