Angles,Carriage,SID,FX,FY,FZ,DetX,DetY,FXCorr,FYCorr,FZCorr,DetXCorr,DetYCorr
-19.3,60.40000000000009,1104.0,-304.48788955539817,0.0,1041.9562505478852,-152.5720027446746,-212.97200274467468,-310.4998083423368,2.4486175637554166,1055.0885700064614,-153.2352641657187,-213.39171362834222
-18.6,58.100000000000136,1104.0,-294.03107746506913,0.0,1046.3363246505826,-154.87200274467455,-212.97200274467468,-301.3671965717878,3.245954094236336,1057.440845700602,-155.12402108270308,-213.4879865945691
-18.0,55.799999999999955,1104.0,-285.35476178994196,0.0,1049.9663939898494,-157.17200274467473,-212.97200274467468,-290.7849880652608,4.259664804036157,1061.4539227635794,-157.53742859468932,-213.59597098930865
-17.3,53.600000000000136,1104.0,-274.70186098187554,0.0,1054.0559226510884,-159.37200274467455,-212.97200274467468,-281.1854726046015,1.339950164012592,1066.9866094475863,-159.56597401985243,-213.20407080595464
-16.6,51.40000000000009,1104.0,-263.9999576150907,0.0,1057.988122209507,-161.5720027446746,-212.97200274467468,-269.41983472595064,1.1383391907019385,1066.5892842034903,-161.70136629734577,-213.1235255642609
-16.0,49.100000000000136,1104.0,-255.20364082196693,0.0,1061.232912315904,-163.87200274467455,-212.97200274467468,-253.89642105001437,1.2887091723781472,1060.8990230588124,-164.23112247328498,-213.12559246782817
-15.3,47.100000000000136,1104.0,-244.21584716177148,0.0,1064.871389977409,-165.87200274467455,-212.97200274467468,-241.4799444619236,0.8541543922224649,1062.1424511332746,-166.39599138565546,-213.08315230633457
-14.6,44.90000000000009,1104.0,-233.38457150039733,0.0,1068.3509242120963,-168.0720027446746,-212.97200274467468,-234.3954430216235,1.2431116774459963,1068.7850017728902,-168.29931930934566,-213.1494867275526
-14.0,42.799999999999955,1104.0,-224.28177274203324,0.0,1071.2064818087001,-170.17200274467473,-212.97200274467468,-223.62859034483222,1.0511746147589571,1069.8556356069053,-170.35325040105135,-213.11958585960227
-13.3,40.600000000000136,1104.0,-213.37490985566714,0.0,1074.3894755459055,-172.37200274467455,-212.97200274467468,-213.0370998795633,1.4038018930855976,1071.9401469510447,-172.55610797597885,-213.08877183849503
-12.7,38.600000000000136,1104.0,-204.11020960553248,0.0,1076.9901365162257,-174.37200274467455,-212.97200274467468,-201.5711177163348,0.49976052548587235,1073.2189044837214,-174.64160906237808,-212.98167681222282
-12.0,36.5,1104.0,-193.03450666280628,0.0,1079.8749512101215,-176.47200274467468,-212.97200274467468,-191.7428717395461,0.9449417610523211,1075.880923562819,-176.3019294519186,-213.01096542811413
-11.3,34.299999999999955,1104.0,-182.02454324373957,0.0,1082.5985830354607,-178.67200274467473,-212.97200274467468,-181.9664086502313,0.3279580390868338,1079.606031329393,-178.62466845295145,-212.9307537517239
-10.7,32.200000000000045,1104.0,-172.77594338567718,0.0,1084.8045273841512,-180.77200274467464,-212.97200274467468,-173.05514136144234,0.33251780764605054,1084.805456487748,-180.65430308371154,-213.0001960082436
-10.0,30.100000000000136,1104.0,-161.60758814429096,0.0,1087.2277593254776,-182.87200274467455,-212.97200274467468,-161.18611097700273,0.2695911268578519,1085.365875377881,-182.8026264670454,-212.95583553799204
-9.3,28.100000000000136,1104.0,-150.31061849811056,0.0,1089.4887109131153,-184.87200274467455,-212.97200274467468,-151.66655844977302,0.4917858468924104,1090.3380923453813,-184.85826007012602,-213.0670433478076
-8.7,26.100000000000136,1104.0,-140.89194555292988,0.0,1091.2972510367867,-186.87200274467455,-212.97200274467468,-141.7413013901097,1.0240432463967182,1096.0447269936744,-187.14045657040677,-213.12712728088832
-8.0,24.100000000000136,1104.0,-129.5471034599121,0.0,1093.2559478906937,-188.87200274467455,-212.97200274467468,-130.315943024923,1.2217183860765095,1096.9438596092934,-189.2170003172799,-213.13115105362888
-7.4,22.0,1104.0,-120.19033862162928,0.0,1094.8049632709317,-190.97200274467468,-212.97200274467468,-119.56768758872381,0.8839179375881302,1097.665499319838,-191.2130880015173,-213.11011569477273
-6.7,19.90000000000009,1104.0,-108.90449375766374,0.0,1096.4603970904886,-193.0720027446746,-212.97200274467468,-110.27493507237368,1.1833519347805872,1100.207900209819,-193.20853317041974,-213.12980111089263
-6.0,17.90000000000009,1104.0,-97.49942344748932,0.0,1097.9521724865738,-195.0720027446746,-212.97200274467468,-98.46122215620656,1.451772901238905,1101.33884190814,-195.30109521460702,-213.1474164226903
-5.4,15.900000000000091,1104.0,-87.99557790363971,0.0,1099.1004089218004,-197.0720027446746,-212.97200274467468,-87.41927520608944,0.4261388048574989,1102.6521654534583,-197.16595994739728,-213.01767836294616
-4.7,13.900000000000091,1104.0,-76.5601135275651,0.0,1100.2876750471123,-199.0720027446746,-212.97200274467468,-76.7855111942868,0.6606666168065187,1102.9046964319057,-199.26715148664434,-213.04277566578043
-4.1,11.900000000000091,1104.0,-67.03317854328516,0.0,1101.174624355762,-201.0720027446746,-212.97200274467468,-66.15214945686691,0.5657964183898192,1102.240279047829,-201.26934739257803,-213.0388872972152
-3.4,9.900000000000091,1104.0,-55.574236427861536,0.0,1102.0567700278368,-203.0720027446746,-212.97200274467468,-55.25468821722942,-0.04086962929950442,1104.1184007625775,-203.23454987956927,-212.9570071461494
-2.7,7.7999999999999545,1104.0,-44.20552158344554,0.0,1102.774421958015,-205.17200274467473,-212.97200274467468,-44.34647456394702,-0.15978459187822236,1103.5481054204924,-205.04772844976546,-212.9365850186635
-2.1,5.7999999999999545,1104.0,-34.65465441203818,0.0,1103.2585467316364,-207.17200274467473,-212.97200274467468,-33.537061440032886,-0.10667022260868814,1104.3491701369528,-207.18032300152225,-212.9129697017937
-1.4,4.0,1104.0,-22.973124680529082,0.0,1103.670444718426,-208.97200274467468,-212.97200274467468,-22.859763102904363,-0.13916173305355095,1103.5317394664273,-209.1019483630349,-212.91995931620121
-0.7,2.0,1104.0,-11.487568922112875,0.0,1103.917608105139,-210.97200274467468,-212.97200274467468,-12.228038610891899,-1.0401435114232642,1104.6298018691332,-210.8886200644126,-212.79442528875916
0.0,0.0,1104.0,0.0,0.0,1104.0,-212.97200274467468,-212.97200274467468,-0.3073052152643514,-0.4378558974632307,1104.1960929476818,-213.1073090131756,-212.8831537547609
0.6,-2.099999999999909,1104.0,9.460849664335445,0.0,1103.9394669795254,-215.0720027446746,-212.97200274467468,9.460849664335445,0.0,1103.9394669795254,-215.0720027446746,-212.97200274467468
